DistInstID,DistNm,SchlInstID,SchlNm,CntyNm
2183,Gresham-Barlow SD 10J,934,Gordon Russell Middle School,Multnomah
2183,Gresham-Barlow SD 10J,4601,Gresham Arthur Academy,Multnomah
2183,Gresham-Barlow SD 10J,986,Gresham High School,Multnomah
2183,Gresham-Barlow SD 10J,936,Hall Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,935,Highland Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,3543,Hogan Cedars Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,937,Hollydale Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,1313,Kelly Creek Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,4667,Lewis and Clark Montessori Charter School,Multnomah
2183,Gresham-Barlow SD 10J,4740,Metro East Web Academy,Multnomah
2183,Gresham-Barlow SD 10J,938,North Gresham Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,939,Powell Valley Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,987,Sam Barlow High School,Multnomah
2183,Gresham-Barlow SD 10J,3577,Springwater Trail High School,Multnomah
2183,Gresham-Barlow SD 10J,940,West Gresham Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,942,West Orient Middle School,Multnomah
2148,Multnomah ESD,821,Alpha High School,Multnomah
2148,Multnomah ESD,3168,Arata Creek School,Multnomah
2148,Multnomah ESD,4203,Doernbecher Childrens Hospital (educational program),Multnomah
2148,Multnomah ESD,1298,Helensview High School,Multnomah
2148,Multnomah ESD,953,Kerr Youth Center/Wynne Watts School,Multnomah
2181,Parkrose SD 3,931,Parkrose High School,Multnomah
2181,Parkrose SD 3,930,Parkrose Middle School,Multnomah
2181,Parkrose SD 3,925,Prescott Elementary School,Multnomah
2181,Parkrose SD 3,926,Russell Academy,Multnomah
2181,Parkrose SD 3,927,Sacramento Elementary School,Multnomah
2181,Parkrose SD 3,928,Shaver Elementary School,Multnomah
2180,Portland SD 1J,822,Abernethy Elementary School,Multnomah
2180,Portland SD 1J,823,Ainsworth Elementary School,Multnomah
2180,Portland SD 1J,824,Alameda Elementary School,Multnomah
2180,Portland SD 1J,4507,Alliance High School,Multnomah
2180,Portland SD 1J,826,Arleta Elementary School,Multnomah
2180,Portland SD 1J,827,Astor Elementary School,Multnomah
2180,Portland SD 1J,828,Atkinson Elementary School,Multnomah
2180,Portland SD 1J,830,Beach Elementary School,Multnomah
2180,Portland SD 1J,831,Beaumont Middle School,Multnomah
2180,Portland SD 1J,906,Benson Polytechnic High School,Multnomah
2180,Portland SD 1J,857,Beverly Cleary School,Multnomah
2180,Portland SD 1J,833,Boise-Eliot Elementary School,Multnomah
2180,Portland SD 1J,907,Boys & Girls Aid Society/Johns Landing School,Multnomah
2180,Portland SD 1J,834,Bridger Elementary School,Multnomah
2180,Portland SD 1J,835,Bridlemile Elementary School,Multnomah
2180,Portland SD 1J,837,Buckman Elementary School,Multnomah
2180,Portland SD 1J,838,Capitol Hill Elementary School,Multnomah
2180,Portland SD 1J,841,Csar Chvez K-8 School,Multnomah
2180,Portland SD 1J,839,Chapman Elementary School,Multnomah
2180,Portland SD 1J,840,Chief Joseph Elementary School,Multnomah
2180,Portland SD 1J,909,Cleveland High School,Multnomah
2180,Portland SD 1J,4640,Creative Science School,Multnomah
2180,Portland SD 1J,843,Creston Elementary School,Multnomah
2180,Portland SD 1J,1363,da Vinci Middle School,Multnomah
2180,Portland SD 1J,844,Duniway Elementary School,Multnomah
2180,Portland SD 1J,3991,Emerson School,Multnomah
2180,Portland SD 1J,847,Faubion Elementary School,Multnomah
2180,Portland SD 1J,2413,Forest Park Elementary School,Multnomah
2180,Portland SD 1J,911,Franklin High School,Multnomah
2180,Portland SD 1J,849,George Middle School,Multnomah
2180,Portland SD 1J,850,Glencoe Elementary School,Multnomah
2180,Portland SD 1J,912,Grant High School,Multnomah
2180,Portland SD 1J,852,Gray Middle School,Multnomah
2180,Portland SD 1J,854,Grout Elementary School,Multnomah
2180,Portland SD 1J,842,Harrison Park School,Multnomah
2180,Portland SD 1J,855,Hayhurst Elementary School,Multnomah
2180,Portland SD 1J,858,Hosford Middle School,Multnomah
2180,Portland SD 1J,861,Irvington Elementary School,Multnomah
2180,Portland SD 1J,1277,Jackson Middle School,Multnomah
2180,Portland SD 1J,862,James John Elementary School,Multnomah
2180,Portland SD 1J,908,Janus Youth Programs,Multnomah
2180,Portland SD 1J,913,Jefferson High School,Multnomah
2180,Portland SD 1J,864,Kelly Elementary School,Multnomah
2180,Portland SD 1J,866,King Elementary School,Multnomah
2180,Portland SD 1J,1243,Lane Middle School,Multnomah
2180,Portland SD 1J,868,Laurelhurst Elementary School,Multnomah
2180,Portland SD 1J,5060,Le Monde French Immersion Public Charter School,Multnomah
2180,Portland SD 1J,4464,Leadership and Entrepreneurship Public Charter High School,Multnomah
2180,Portland SD 1J,869,Lee Elementary School,Multnomah
2180,Portland SD 1J,870,Lent Elementary School,Multnomah
2180,Portland SD 1J,871,Lewis Elementary School,Multnomah
2180,Portland SD 1J,914,Lincoln High School,Multnomah
2180,Portland SD 1J,872,Llewellyn Elementary School,Multnomah
2180,Portland SD 1J,915,Madison High School,Multnomah
2180,Portland SD 1J,873,Maplewood Elementary School,Multnomah
2180,Portland SD 1J,1278,Markham Elementary School,Multnomah
2180,Portland SD 1J,875,Marysville Elementary School,Multnomah
2180,Portland SD 1J,916,Metropolitan Learning Center,Multnomah
2180,Portland SD 1J,2275,"Morrison Child & Family Services, Breakthrough",Multnomah
2180,Portland SD 1J,1279,"Morrison Child & Family Services, Hand In Hand ",Multnomah
2180,Portland SD 1J,877,Mt Tabor Middle School,Multnomah
2180,Portland SD 1J,1281,Nickerson Center ADTP,Multnomah
2180,Portland SD 1J,878,Ockley Green,Multnomah
2180,Portland SD 1J,3451,Opal School of the Portland Children's Museum,Multnomah
2180,Portland SD 1J,880,Parry Center for Children,Multnomah
2180,Portland SD 1J,3584,Parry Center SCIP,Multnomah
2180,Portland SD 1J,879,Peninsula Elementary School,Multnomah
2180,Portland SD 1J,4400,Portland Arthur Academy Charter School,Multnomah
2180,Portland SD 1J,4534,Portland Village School,Multnomah
2180,Portland SD 1J,883,Richmond Elementary School,Multnomah
2180,Portland SD 1J,1299,Rieke Elementary School,Multnomah
2180,Portland SD 1J,884,Rigler Elementary School,Multnomah
2180,Portland SD 1J,918,Roosevelt High School,Multnomah
2180,Portland SD 1J,829,Rosa Parks Elementary School,Multnomah
2180,Portland SD 1J,923,Rosemont School,Multnomah
2180,Portland SD 1J,885,Roseway Heights School,Multnomah
2180,Portland SD 1J,886,Sabin Elementary School,Multnomah
2180,Portland SD 1J,887,Scott Elementary School,Multnomah
2180,Portland SD 1J,4212,"Self Enhancement, Inc/SEI Academy",Multnomah
2180,Portland SD 1J,888,Sellwood Middle School,Multnomah
2180,Portland SD 1J,889,Sitton Elementary School,Multnomah
2180,Portland SD 1J,890,Skyline Elementary School,Multnomah
2180,Portland SD 1J,892,Stephenson Elementary School,Multnomah
2180,Portland SD 1J,893,Sunnyside Environmental School,Multnomah
2180,Portland SD 1J,3616,Trillium,Multnomah
2180,Portland SD 1J,895,Vernon Elementary School,Multnomah
2180,Portland SD 1J,896,Vestal Elementary School,Multnomah
2180,Portland SD 1J,898,West Sylvan Middle School,Multnomah
2180,Portland SD 1J,921,White Shield Home,Multnomah
2180,Portland SD 1J,900,Whitman Elementary School,Multnomah
2180,Portland SD 1J,4405,Wildflowers,Multnomah
2180,Portland SD 1J,922,Wilson High School,Multnomah
2180,Portland SD 1J,1364,Winterhaven School,Multnomah
2180,Portland SD 1J,902,Woodlawn Elementary School,Multnomah
2180,Portland SD 1J,903,Woodmere Elementary School,Multnomah
2180,Portland SD 1J,904,Woodstock Elementary School,Multnomah
2182,Reynolds SD 7,4648,ACE Academy,Multnomah
2182,Reynolds SD 7,943,Alder Elementary School,Multnomah
2182,Reynolds SD 7,949,Davis Elementary School,Multnomah
2182,Reynolds SD 7,945,Fairview Elementary School,Multnomah
2182,Reynolds SD 7,946,Glenfair Elementary School,Multnomah
2182,Reynolds SD 7,947,Hartley Elementary School,Multnomah
2182,Reynolds SD 7,954,Hauton B Lee Middle School,Multnomah
2182,Reynolds SD 7,4822,KNOVA Reynolds Public Charter School,Multnomah
2182,Reynolds SD 7,948,Margaret Scott Elementary School,Multnomah
2182,Reynolds SD 7,3490,Multisensory Learning Academy,Multnomah
2182,Reynolds SD 7,4216,Reynolds Arthur Academy,Multnomah
2182,Reynolds SD 7,957,Reynolds High School,Multnomah
2182,Reynolds SD 7,1343,Reynolds Learning Academy,Multnomah
2182,Reynolds SD 7,1254,Reynolds Middle School,Multnomah
2182,Reynolds SD 7,3989,Salish Ponds Elementary School,Multnomah
2182,Reynolds SD 7,950,Sweetbriar Elementary School,Multnomah
2182,Reynolds SD 7,951,Troutdale Elementary School,Multnomah
2182,Reynolds SD 7,2263,Walt Morey Middle School,Multnomah
2182,Reynolds SD 7,952,Wilkes Elementary School,Multnomah
2182,Reynolds SD 7,1365,Woodland Elementary,Multnomah
2188,Riverdale SD 51J,985,Riverdale Grade School,Multnomah
2188,Riverdale SD 51J,1345,Riverdale High School,Multnomah
2191,Central SD 13J,3464,Ash Creek Elementary School,Polk
2191,Central SD 13J,1002,Central High School,Polk
2191,Central SD 13J,997,Henry Hill Elementary School,Polk
2191,Central SD 13J,998,Independence Elementary School,Polk
2191,Central SD 13J,999,Monmouth Elementary School,Polk
2191,Central SD 13J,1001,Talmadge Middle School,Polk
2190,Dallas SD 2,995,Dallas High School,Polk
2190,Dallas SD 2,994,LaCreole Middle School,Polk
2190,Dallas SD 2,3461,Luckiamute Valley Charter School,Polk
2190,Dallas SD 2,989,Lyle Elementary School,Polk
2190,Dallas SD 2,990,Oakdale Heights Elementary School,Polk
2190,Dallas SD 2,993,Whitworth Elementary School,Polk
2193,Falls City SD 57,1005,Falls City Elementary School,Polk
2193,Falls City SD 57,1006,Falls City High School,Polk
2192,Perrydale SD 21,3378,Perrydale School,Polk
2195,Sherman County SD,5062,Oregon Virtual Education - East,Sherman
2195,Sherman County SD,1009,Sherman Elementary School,Sherman
2195,Sherman County SD,1010,Sherman Junior/Senior High School,Sherman
2198,Neah-Kah-Nie SD 56,1020,Garibaldi Elementary School,Tillamook
